Year,Player,Team,Matches,Balls,Overs,Runs Given,Wickets,Economy Rate,Average,Strike Rate,Dots,4s,6s,Boundaries Conceded,Wides,No Balls,Extras Given
2023,GJ Maxwell,Royal Challengers Bengaluru,7,62,10.2,94,3,9.1,31.33,20.67,18,4,7,11,2,0,2
2023,Gurnoor Brar,Punjab Kings,1,18,3.0,42,0,14.0,,,7,4,3,7,1,3,4
2023,H Sharma,Royal Challengers Bengaluru,1,18,3.0,28,0,9.33,,,2,3,1,4,0,0,0
2023,HH Pandya,Gujarat Titans,11,150,25.0,228,3,9.12,76.0,50.0,59,26,11,37,5,1,6
2023,HR Shokeen,Mumbai Indians,8,114,19.0,187,3,9.84,62.33,38.0,37,13,10,23,7,4,11
2023,HV Patel,Royal Challengers Bengaluru,13,282,47.0,454,14,9.66,32.43,20.14,77,36,21,57,17,13,31
2023,Harpreet Brar,Punjab Kings,11,163,27.1,218,9,8.02,24.22,18.11,57,21,7,28,3,0,3
2023,Harshit Rana,Kolkata Knight Riders,6,102,17.0,147,5,8.65,29.4,20.4,44,17,7,24,5,2,7
2023,I Sharma,Delhi Capitals,8,150,25.0,206,10,8.24,20.6,15.0,65,30,3,33,8,7,15
2023,J Little,Gujarat Titans,10,204,34.0,294,7,8.65,42.0,29.14,73,24,14,38,7,0,7
2023,J Yadav,Gujarat Titans,1,24,4.0,26,0,6.5,,,8,2,0,2,0,0,0
2023,JC Archer,Mumbai Indians,5,120,20.0,190,2,9.5,95.0,60.0,43,14,11,25,11,9,20
2023,JD Unadkat,Lucknow Super Giants,3,48,8.0,92,0,11.5,,,15,7,5,12,8,0,8
2023,JE Root,Rajasthan Royals,1,12,2.0,14,0,7.0,,,1,1,0,1,0,0,0
2023,JO Holder,Rajasthan Royals,8,171,28.3,284,4,9.96,71.0,42.75,40,26,14,40,5,0,5
2023,JP Behrendorff,Mumbai Indians,12,252,42.0,387,14,9.21,27.64,18.0,88,36,18,54,14,0,14
