Year,Player,Team,Matches,Balls,Overs,Runs Given,Wickets,Economy Rate,Average,Strike Rate,Dots,4s,6s,Boundaries Conceded,Wides,No Balls,Extras Given
2024,JA Richardson,Delhi Capitals,1,24,4.0,40,0,10.0,,,8,2,3,5,2,0,2
2024,JD Unadkat,Sunrisers Hyderabad,11,187,31.1,319,8,10.24,39.88,23.38,42,21,16,37,13,0,13
2024,JJ Bumrah,Mumbai Indians,13,311,51.5,336,20,6.48,16.8,15.55,144,29,10,39,17,12,29
2024,K Gowtham,Lucknow Super Giants,1,12,2.0,29,0,14.5,,,4,2,3,5,1,0,1
2024,K Rabada,Punjab Kings,11,252,42.0,372,11,8.86,33.82,22.91,93,40,15,55,10,0,10
2024,KA Maharaj,Rajasthan Royals,2,36,6.0,39,2,6.5,19.5,18.0,11,2,1,3,0,0,0
2024,KH Pandya,Lucknow Super Giants,12,198,33.0,255,6,7.73,42.5,33.0,55,15,9,24,15,0,15
2024,KK Ahmed,Delhi Capitals,14,300,50.0,479,17,9.58,28.18,17.65,120,50,23,73,25,2,27
2024,KR Sen,Rajasthan Royals,3,72,12.0,122,6,10.17,20.33,12.0,22,14,4,18,6,5,11
2024,KT Maphaka,Mumbai Indians,2,36,6.0,89,1,14.83,89.0,36.0,11,12,5,17,3,0,3
2024,KV Sharma,Royal Challengers Bengaluru,9,144,24.0,254,7,10.58,36.29,20.57,39,18,17,35,5,0,5
2024,Kartik Tyagi,Gujarat Titans,1,24,4.0,51,0,12.75,,,4,6,2,8,2,0,2
2024,Kuldeep Yadav,Delhi Capitals,11,258,43.0,372,16,8.65,23.25,16.12,80,13,26,39,8,1,9
2024,L Wood,Mumbai Indians,2,36,6.0,93,1,15.5,93.0,36.0,8,12,5,17,1,1,2
2024,LB Williams,Delhi Capitals,2,36,6.0,72,1,12.0,72.0,36.0,12,7,3,10,9,1,11
2024,LH Ferguson,Royal Challengers Bengaluru,7,144,24.0,255,9,10.62,28.33,16.0,38,22,15,37,0,7,7
2024,LS Livingstone,Punjab Kings,4,72,12.0,84,3,7.0,28.0,24.0,25,6,3,9,3,0,3
2024,Lalit Yadav,Delhi Capitals,2,18,3.0,56,0,18.67,,,2,5,5,10,0,0,0
2024,M Jansen,Sunrisers Hyderabad,3,60,10.0,129,1,12.9,129.0,60.0,18,13,6,19,11,3,14
2024,M Markande,Sunrisers Hyderabad,7,132,22.0,259,8,11.77,32.38,16.5,29,8,23,31,9,2,11
2024,M Pathirana,Chennai Super Kings,6,132,22.0,169,13,7.68,13.0,10.15,49,14,5,19,15,0,15
2024,M Shahrukh Khan,Gujarat Titans,2,12,2.0,15,0,7.5,,,3,0,1,1,0,0,0
2024,M Siddharth,Lucknow Super Giants,3,54,9.0,71,1,7.89,71.0,54.0,22,6,2,8,2,6,9
2024,M Theekshana,Chennai Super Kings,5,120,20.0,144,2,7.2,72.0,60.0,44,8,7,15,1,0,1
2024,MA Starc,Kolkata Knight Riders,13,251,41.5,444,17,10.61,26.12,14.76,102,47,23,70,30,0,30
2024,MJ Henry,Lucknow Super Giants,4,72,12.0,110,1,9.17,110.0,72.0,24,9,5,14,2,0,2
2024,MJ Santner,Chennai Super Kings,3,54,9.0,64,2,7.11,32.0,27.0,23,5,3,8,0,0,0
2024,MJ Suthar,Gujarat Titans,1,12,2.0,26,0,13.0,,,4,1,3,4,0,0,0
2024,MK Lomror,Royal Challengers Bengaluru,1,6,1.0,18,0,18.0,,,1,0,2,2,3,0,3
2024,MM Ali,Chennai Super Kings,4,48,8.0,71,2,8.88,35.5,24.0,12,2,4,6,1,0,1
2024,MM Sharma,Gujarat Titans,11,234,39.0,425,13,10.9,32.69,18.0,53,33,22,55,10,7,17
2024,MP Stoinis,Lucknow Super Giants,7,84,14.0,126,4,9.0,31.5,21.0,32,8,7,15,7,0,7
2024,MP Yadav,Lucknow Super Giants,4,73,12.1,85,7,6.99,12.14,10.43,39,11,3,14,2,2,4
2024,MR Marsh,Delhi Capitals,3,48,8.0,103,1,12.88,103.0,48.0,9,10,5,15,6,0,6
2024,Mayank Dagar,Royal Challengers Bengaluru,5,71,11.5,120,1,10.14,120.0,71.0,21,7,8,15,5,0,5
2024,Mohammad Nabi,Mumbai Indians,6,74,12.2,109,2,8.84,54.5,37.0,18,4,8,12,0,0,0
2024,Mohammed Siraj,Royal Challengers Bengaluru,14,324,54.0,496,15,9.19,33.07,21.6,121,46,24,70,27,0,27
2024,Mohsin Khan,Lucknow Super Giants,10,228,38.0,385,10,10.13,38.5,22.8,82,34,23,57,10,0,10
2024,Mukesh Choudhary,Chennai Super Kings,1,6,1.0,27,0,27.0,,,2,2,3,5,0,7,7
2024,Mukesh Kumar,Delhi Capitals,10,213,35.3,368,17,10.37,21.65,12.53,67,46,13,59,7,3,10
2024,Mustafizur Rahman,Chennai Super Kings,9,206,34.2,318,14,9.26,22.71,14.71,76,37,10,47,15,12,28
2024,N Burger,Rajasthan Royals,5,102,17.0,145,7,8.53,20.71,14.57,46,16,7,23,7,0,7
2024,N Thushara,Mumbai Indians,7,156,26.0,257,8,9.88,32.12,19.5,49,25,10,35,16,5,21
2024,N Wadhera,Mumbai Indians,1,12,2.0,13,0,6.5,,,2,1,0,1,0,0,0
2024,NT Ellis,Punjab Kings,1,24,4.0,24,1,6.0,24.0,24.0,10,3,0,3,0,0,0
2024,Naman Dhir,Mumbai Indians,3,28,4.4,55,0,11.79,,,3,5,2,7,1,0,1
2024,Naveen-ul-Haq,Lucknow Super Giants,10,219,36.3,372,14,10.19,26.57,15.64,69,38,15,53,10,6,16
2024,Nithish Kumar Reddy,Sunrisers Hyderabad,7,79,13.1,153,3,11.62,51.0,26.33,19,12,9,21,7,1,8
2024,Noor Ahmad,Gujarat Titans,10,209,34.5,290,8,8.33,36.25,26.12,71,21,14,35,6,0,6
2024,PJ Cummins,Sunrisers Hyderabad,16,366,61.0,566,18,9.28,31.44,20.33,123,59,23,82,10,0,10
2024,PP Chawla,Mumbai Indians,11,210,35.0,312,13,8.91,24.0,16.15,65,13,21,34,9,0,9
2024,PVD Chameera,Kolkata Knight Riders,1,18,3.0,48,0,16.0,,,5,3,5,8,1,0,1
2024,R Ashwin,Rajasthan Royals,14,330,55.0,467,9,8.49,51.89,36.67,87,24,19,43,28,0,28
2024,R Dhawan,Punjab Kings,1,18,3.0,35,0,11.67,,,4,2,3,5,1,0,1
2024,R Parag,Rajasthan Royals,2,18,3.0,27,0,9.0,,,5,1,2,3,1,0,1
2024,R Ravindra,Chennai Super Kings,2,12,2.0,7,0,3.5,,,5,0,0,0,0,0,0
2024,R Sai Kishore,Gujarat Titans,5,90,15.0,137,7,9.13,19.57,12.86,30,6,10,16,3,0,3
2024,R Shepherd,Mumbai Indians,5,72,12.0,159,1,13.25,159.0,72.0,15,14,10,24,5,0,5
2024,RA Jadeja,Chennai Super Kings,14,282,47.0,369,8,7.85,46.12,35.25,73,22,14,36,2,2,4
2024,RD Chahar,Punjab Kings,9,186,31.0,279,10,9.0,27.9,18.6,55,15,18,33,2,5,7
2024,RJ Gleeson,Chennai Super Kings,2,47,7.5,71,1,9.06,71.0,47.0,19,7,3,10,3,1,4
2024,RJW Topley,Royal Challengers Bengaluru,4,90,15.0,168,4,11.2,42.0,22.5,31,18,9,27,5,0,5
2024,Ramandeep Singh,Kolkata Knight Riders,1,4,0.4,9,0,13.5,,,0,0,1,1,0,0,0
2024,Rashid Khan,Gujarat Titans,12,262,43.4,367,10,8.4,36.7,26.2,79,22,20,42,0,0,0
2024,Rasikh Salam,Delhi Capitals,8,147,24.3,269,9,10.98,29.89,16.33,40,18,18,36,9,0,9
2024,Ravi Bishnoi,Lucknow Super Giants,14,262,43.4,383,10,8.77,38.3,26.2,88,29,20,49,8,0,8
2024,S Dube,Chennai Super Kings,1,6,1.0,14,1,14.0,14.0,6.0,1,1,1,2,0,0,0
2024,S Gopal,Mumbai Indians,3,42,7.0,67,3,9.57,22.33,14.0,10,0,6,6,0,0,0
2024,S Joseph,Lucknow Super Giants,1,24,4.0,47,0,11.75,,,9,4,2,6,7,4,11
2024,S Sandeep Warrier,Gujarat Titans,5,66,11.0,119,6,10.82,19.83,11.0,29,9,10,19,3,7,10
2024,SH Johnson,Gujarat Titans,5,96,16.0,151,4,9.44,37.75,24.0,34,16,7,23,3,0,3
2024,SM Curran,Punjab Kings,13,246,41.0,416,16,10.15,26.0,15.38,81,43,20,63,7,5,12
2024,SN Thakur,Chennai Super Kings,9,190,31.4,309,5,9.76,61.8,38.0,45,27,13,40,4,7,11
2024,SP Narine,Kolkata Knight Riders,14,330,55.0,368,17,6.69,21.65,19.41,122,17,17,34,5,0,5
2024,SZ Mulani,Mumbai Indians,2,30,5.0,57,0,11.4,,,7,2,4,6,3,0,3
2024,Sandeep Sharma,Rajasthan Royals,10,228,38.0,311,13,8.18,23.92,17.54,72,30,9,39,8,0,8
2024,Shahbaz Ahmed,Sunrisers Hyderabad,15,165,27.3,270,7,9.82,38.57,23.57,48,21,16,37,0,7,7
2024,Shashank Singh,Punjab Kings,1,6,1.0,5,1,5.0,5.0,6.0,1,0,0,0,0,0,0
2024,Sikandar Raza,Punjab Kings,1,12,2.0,22,0,11.0,,,2,4,0,4,0,0,0
2024,Simarjeet Singh,Chennai Super Kings,4,72,12.0,121,5,10.08,24.2,14.4,27,8,8,16,8,0,8
2024,Sumit Kumar,Delhi Capitals,2,20,3.2,38,0,11.4,,,4,3,2,5,2,0,2
2024,Suyash Sharma,Kolkata Knight Riders,2,24,4.0,51,0,12.75,,,5,3,4,7,1,0,1
2024,Swapnil Singh,Royal Challengers Bengaluru,7,90,15.0,133,6,8.87,22.17,15.0,27,11,6,17,1,2,3
2024,T Natarajan,Sunrisers Hyderabad,14,308,51.2,465,19,9.06,24.47,16.21,108,47,17,64,24,0,24
2024,T Stubbs,Delhi Capitals,2,12,2.0,15,3,7.5,5.0,4.0,6,2,0,2,1,0,1
2024,TA Boult,Rajasthan Royals,15,320,53.2,443,16,8.31,27.69,20.0,132,51,14,65,18,0,18
2024,TM Head,Sunrisers Hyderabad,1,10,1.4,32,0,19.2,,,2,3,3,6,0,0,0
2024,TU Deshpande,Chennai Super Kings,13,288,48.0,424,17,8.83,24.94,16.94,111,37,20,57,21,6,27
2024,Tilak Varma,Mumbai Indians,1,4,0.4,8,0,12.0,,,0,1,0,1,0,0,0
2024,UT Yadav,Gujarat Titans,7,126,21.0,210,8,10.0,26.25,15.75,55,27,9,36,3,0,3
2024,Umran Malik,Sunrisers Hyderabad,1,6,1.0,15,0,15.0,,,2,0,2,2,1,0,1
2024,V Kaverappa,Punjab Kings,1,24,4.0,36,2,9.0,18.0,12.0,11,2,3,5,0,0,0
2024,V Viyaskanth,Sunrisers Hyderabad,3,60,10.0,86,1,8.6,86.0,60.0,16,4,6,10,0,0,0
2024,VG Arora,Kolkata Knight Riders,10,180,30.0,276,11,9.2,25.09,16.36,76,28,12,40,15,9,25
2024,VR Iyer,Kolkata Knight Riders,1,6,1.0,28,0,28.0,,,0,4,2,6,0,0,0
2024,Vijaykumar Vyshak,Royal Challengers Bengaluru,4,87,14.3,142,4,9.79,35.5,21.75,23,12,7,19,3,0,3
2024,WG Jacks,Royal Challengers Bengaluru,5,54,9.0,100,2,11.11,50.0,27.0,11,6,7,13,2,0,2
2024,Washington Sundar,Sunrisers Hyderabad,2,30,5.0,73,1,14.6,73.0,30.0,3,9,3,12,0,0,0
2024,YS Chahal,Rajasthan Royals,15,348,58.0,546,18,9.41,30.33,19.33,98,35,30,65,14,1,15
2024,Yash Dayal,Royal Challengers Bengaluru,14,301,50.1,459,15,9.15,30.6,20.07,116,53,14,67,22,3,26
2024,Yash Thakur,Lucknow Super Giants,10,213,35.3,402,11,11.32,36.55,19.36,65,37,23,60,11,1,12
2024,Yudhvir Singh,Lucknow Super Giants,2,24,4.0,52,1,13.0,52.0,24.0,5,4,3,7,0,0,0
2025,A Badoni,Lucknow Super Giants,2,10,1.4,13,2,7.8,6.5,5.0,3,0,1,1,0,0,0
2025,A Kamboj,Chennai Super Kings,8,129,21.3,172,8,8.0,21.5,16.12,55,17,8,25,0,1,1
2025,A Nortje,Kolkata Knight Riders,2,42,7.0,83,1,11.86,83.0,42.0,14,12,3,15,7,0,7
2025,A Zampa,Sunrisers Hyderabad,2,48,8.0,94,2,11.75,47.0,24.0,10,6,7,13,2,0,2
2025,AD Russell,Kolkata Knight Riders,9,109,18.1,217,8,11.94,27.12,13.62,28,21,13,34,2,5,7
2025,AK Markram,Lucknow Super Giants,5,66,11.0,102,4,9.27,25.5,16.5,15,3,7,10,2,0,2
2025,AR Patel,Delhi Capitals,12,216,36.0,313,5,8.69,62.6,43.2,66,24,16,40,3,0,3
2025,AS Roy,Kolkata Knight Riders,1,24,4.0,27,1,6.75,27.0,24.0,8,3,0,3,1,0,1
2025,Abdul Samad,Lucknow Super Giants,1,2,0.2,6,0,18.0,,,1,0,1,1,0,0,0
2025,Abhishek Sharma,Sunrisers Hyderabad,6,66,11.0,112,0,10.18,,,21,10,7,17,1,0,1
2025,Akash Deep,Lucknow Super Giants,6,114,19.0,229,3,12.05,76.33,38.0,34,27,9,36,17,0,17
2025,Akash Madhwal,Rajasthan Royals,4,90,15.0,166,4,11.07,41.5,22.5,22,16,7,23,11,0,11
2025,Akash Singh,Lucknow Super Giants,3,67,11.1,99,4,8.87,24.75,16.75,20,15,1,16,0,0,0
2025,Arshad Khan,Gujarat Titans,9,126,21.0,217,6,10.33,36.17,21.0,46,24,10,34,9,2,11
2025,Arshdeep Singh,Punjab Kings,16,350,58.2,518,21,8.88,24.67,16.67,134,62,15,77,22,0,22
2025,Ashwani Kumar,Mumbai Indians,7,123,20.3,232,11,11.32,21.09,11.18,35,18,15,33,7,2,9
2025,Avesh Khan,Lucknow Super Giants,13,284,47.2,487,13,10.29,37.46,21.85,77,48,21,69,10,0,10
2025,Azmatullah Omarzai,Punjab Kings,8,162,27.0,279,8,10.33,34.88,20.25,43,25,12,37,9,0,9
2025,B Kumar,Royal Challengers Bengaluru,14,312,52.0,483,17,9.29,28.41,18.35,116,46,26,72,6,0,6
2025,C Bosch,Mumbai Indians,2,42,7.0,55,1,7.86,55.0,42.0,23,4,4,8,3,0,3
2025,C Sakariya,Kolkata Knight Riders,1,18,3.0,39,0,13.0,,,3,4,2,6,1,0,1
2025,CV Varun,Kolkata Knight Riders,13,300,50.0,383,17,7.66,22.53,17.65,114,31,16,47,8,0,8
2025,DJ Hooda,Chennai Super Kings,1,6,1.0,15,0,15.0,,,1,1,1,2,1,0,1
2025,DL Chahar,Mumbai Indians,14,246,41.0,376,11,9.17,34.18,22.36,106,41,14,55,20,3,23
2025,DS Rathi,Lucknow Super Giants,13,312,52.0,429,14,8.25,30.64,22.29,95,37,14,51,11,3,14
2025,E Malinga,Sunrisers Hyderabad,7,160,26.4,238,13,8.92,18.31,12.31,53,24,10,34,5,0,5
2025,Fazalhaq Farooqi,Rajasthan Royals,5,102,17.0,210,0,12.35,,,24,27,8,35,2,0,2
2025,G Coetzee,Gujarat Titans,4,72,12.0,131,2,10.92,65.5,36.0,19,8,9,17,4,0,4
2025,GJ Maxwell,Punjab Kings,6,78,13.0,110,4,8.46,27.5,19.5,27,9,5,14,4,0,4
2025,HH Pandya,Mumbai Indians,14,210,35.0,342,14,9.77,24.43,15.0,64,28,17,45,16,3,19
2025,HV Patel,Sunrisers Hyderabad,13,263,43.5,430,16,9.81,26.88,16.44,82,42,16,58,23,20,43
2025,Harpreet Brar,Punjab Kings,7,132,22.0,190,10,8.64,19.0,13.2,40,15,9,24,1,7,8
2025,Harsh Dubey,Sunrisers Hyderabad,3,60,10.0,98,5,9.8,19.6,12.0,18,4,8,12,1,0,1
2025,Harshit Rana,Kolkata Knight Riders,13,264,44.0,448,15,10.18,29.87,17.6,99,47,24,71,10,5,15
2025,I Sharma,Gujarat Titans,7,110,18.2,205,4,11.18,51.25,27.5,30,22,10,32,7,0,7
2025,Ishan Kishan,Sunrisers Hyderabad,1,1,0.1,4,0,24.0,,,0,1,0,1,0,0,0
2025,J Overton,Chennai Super Kings,3,36,6.0,83,0,13.83,,,9,3,8,11,5,0,5
2025,JC Archer,Rajasthan Royals,12,273,45.3,431,11,9.47,39.18,24.82,103,46,18,64,21,1,23
2025,JD Unadkat,Sunrisers Hyderabad,7,143,23.5,175,11,7.34,15.91,13.0,52,19,4,23,3,0,3
2025,JJ Bumrah,Mumbai Indians,12,284,47.2,316,18,6.68,17.56,15.78,125,26,12,38,5,0,5
2025,JR Hazlewood,Royal Challengers Bengaluru,12,264,44.0,386,22,8.77,17.55,12.0,117,39,22,61,6,0,6
2025,K Kartikeya,Rajasthan Royals,4,48,8.0,78,2,9.75,39.0,24.0,16,6,5,11,2,0,2
2025,K Khejroliya,Gujarat Titans,1,18,3.0,29,1,9.67,29.0,18.0,4,3,1,4,1,0,1
2025,K Rabada,Gujarat Titans,4,84,14.0,162,2,11.57,81.0,42.0,22,12,11,23,4,0,4
2025,KA Jamieson,Punjab Kings,4,90,15.0,147,5,9.8,29.4,18.0,34,14,8,22,4,0,4
2025,KH Pandya,Royal Challengers Bengaluru,15,276,46.0,379,17,8.24,22.29,16.24,83,23,19,42,9,0,9
2025,KK Ahmed,Chennai Super Kings,14,280,46.4,447,15,9.58,29.8,18.67,131,51,25,76,7,9,16
2025,KT Maphaka,Rajasthan Royals,2,30,5.0,54,1,10.8,54.0,30.0,11,6,3,9,2,0,2
2025,KV Sharma,Mumbai Indians,5,90,15.0,128,7,8.53,18.29,12.86,24,8,7,15,1,0,1
2025,Karim Janat,Gujarat Titans,1,6,1.0,30,0,30.0,,,0,3,3,6,0,0,0
2025,Kuldeep Yadav,Delhi Capitals,14,318,53.0,390,15,7.36,26.0,21.2,106,24,15,39,5,2,7
2025,L Ngidi,Royal Challengers Bengaluru,2,48,8.0,81,4,10.12,20.25,12.0,13,7,4,11,0,0,0
2025,LH Ferguson,Punjab Kings,4,68,11.2,104,5,9.18,20.8,13.6,25,5,7,12,11,0,11
2025,LS Livingstone,Royal Challengers Bengaluru,5,54,9.0,76,2,8.44,38.0,27.0,10,6,2,8,0,0,0
2025,M Jansen,Punjab Kings,14,283,47.1,434,16,9.2,27.12,17.69,105,41,22,63,15,1,17
2025,M Pathirana,Chennai Super Kings,12,251,41.5,424,13,10.14,32.62,19.31,76,25,25,50,36,1,37
2025,M Prasidh Krishna,Gujarat Titans,15,354,59.0,488,25,8.27,19.52,14.16,135,44,23,67,11,0,11
2025,M Shahrukh Khan,Gujarat Titans,1,6,1.0,13,1,13.0,13.0,6.0,1,1,1,2,0,0,0
2025,M Siddharth,Lucknow Super Giants,2,42,7.0,67,2,9.57,33.5,21.0,11,5,4,9,2,0,2
2025,M Theekshana,Rajasthan Royals,11,252,42.0,410,11,9.76,37.27,22.91,70,38,14,52,24,2,26
2025,M Tiwari,Delhi Capitals,1,6,1.0,14,0,14.0,,,0,2,0,2,0,0,0
2025,MA Starc,Delhi Capitals,11,233,38.5,400,14,10.3,28.57,16.64,84,50,14,64,20,14,34
2025,MJ Santner,Mumbai Indians,13,237,39.3,313,10,7.92,31.3,23.7,76,27,10,37,11,0,11
2025,MM Ali,Kolkata Knight Riders,5,96,16.0,136,6,8.5,22.67,16.0,29,5,9,14,3,0,3
2025,MM Sharma,Delhi Capitals,8,150,25.0,257,2,10.28,128.5,75.0,31,20,11,31,10,8,18
2025,MP Stoinis,Punjab Kings,9,85,14.1,175,1,12.35,175.0,85.0,20,11,13,24,5,7,12
2025,MP Yadav,Lucknow Super Giants,2,48,8.0,100,2,12.5,50.0,24.0,18,6,9,15,5,0,5
2025,Mohammed Shami,Sunrisers Hyderabad,9,180,30.0,337,6,11.23,56.17,30.0,55,37,17,54,10,1,11
2025,Mohammed Siraj,Gujarat Titans,15,342,57.0,527,16,9.25,32.94,21.38,141,60,22,82,30,0,30
2025,Mujeeb Ur Rahman,Mumbai Indians,1,12,2.0,28,1,14.0,28.0,12.0,4,3,1,4,5,0,5
2025,Mukesh Choudhary,Chennai Super Kings,2,36,6.0,71,1,11.83,71.0,36.0,11,10,3,13,0,0,0
2025,Mukesh Kumar,Delhi Capitals,12,237,39.3,408,12,10.33,34.0,19.75,79,39,21,60,16,7,23
2025,Musheer Khan,Punjab Kings,1,12,2.0,27,1,13.5,27.0,12.0,1,2,2,4,0,0,0
2025,Mustafizur Rahman,Delhi Capitals,3,66,11.0,87,4,7.91,21.75,16.5,23,6,4,10,0,0,0
2025,N Rana,Rajasthan Royals,2,12,2.0,18,0,9.0,,,0,2,0,2,0,0,0
2025,N Thushara,Royal Challengers Bengaluru,1,24,4.0,26,1,6.5,26.0,24.0,9,3,0,3,1,1,2
2025,N Wadhera,Punjab Kings,1,5,0.5,9,0,10.8,,,1,0,1,1,0,0,0
2025,NT Ellis,Chennai Super Kings,1,24,4.0,38,1,9.5,38.0,24.0,5,3,1,4,1,0,1
2025,Naman Dhir,Mumbai Indians,2,24,4.0,21,0,5.25,,,8,1,0,1,0,0,0
2025,Nithish Kumar Reddy,Sunrisers Hyderabad,3,30,5.0,47,2,9.4,23.5,15.0,9,2,3,5,4,0,4
2025,Noor Ahmad,Chennai Super Kings,14,300,50.0,408,24,8.16,17.0,12.5,102,28,18,46,19,5,24
2025,P Dubey,Punjab Kings,1,12,2.0,20,1,10.0,20.0,12.0,3,4,0,4,0,0,0
2025,PHKD Mendis,Sunrisers Hyderabad,4,42,7.0,60,2,8.57,30.0,21.0,11,4,3,7,0,0,0
2025,PJ Cummins,Sunrisers Hyderabad,14,298,49.4,450,16,9.06,28.12,18.62,111,40,23,63,13,2,15
2025,PVD Chameera,Delhi Capitals,6,102,17.0,198,4,11.65,49.5,25.5,24,14,12,26,8,2,10
2025,PVSN Raju,Mumbai Indians,2,24,4.0,53,1,13.25,53.0,24.0,3,4,3,7,5,0,5
2025,PWA Mulder,Sunrisers Hyderabad,1,6,1.0,16,0,16.0,,,1,2,1,3,0,0,0
2025,PWH de Silva,Rajasthan Royals,11,246,41.0,371,11,9.05,33.73,22.36,62,22,21,43,5,0,5
2025,Prince Yadav,Lucknow Super Giants,6,137,22.5,225,3,9.85,75.0,45.67,42,21,10,31,7,0,7
2025,R Ashwin,Chennai Super Kings,9,186,31.0,283,7,9.13,40.43,26.57,54,18,18,36,3,0,3
2025,R Parag,Rajasthan Royals,9,120,20.0,170,3,8.5,56.67,40.0,29,9,7,16,9,0,9
2025,R Sai Kishore,Gujarat Titans,15,255,42.3,393,19,9.25,20.68,13.42,74,22,25,47,7,0,7
2025,R Shepherd,Royal Challengers Bengaluru,7,84,14.0,151,6,10.79,25.17,14.0,25,10,11,21,6,0,6
2025,RA Jadeja,Chennai Super Kings,14,227,37.5,324,10,8.56,32.4,22.7,76,23,17,40,3,5,8
2025,RD Chahar,Sunrisers Hyderabad,1,6,1.0,9,0,9.0,,,2,0,1,1,0,0,0
2025,RJ Gleeson,Mumbai Indians,1,21,3.3,39,1,11.14,39.0,21.0,5,7,0,7,1,0,1
2025,RJW Topley,Mumbai Indians,1,18,3.0,40,0,13.33,,,6,2,4,6,0,0,0
2025,Rashid Khan,Gujarat Titans,15,330,55.0,514,9,9.35,57.11,36.67,88,28,33,61,6,0,6
2025,Rasikh Salam,Royal Challengers Bengaluru,2,36,6.0,70,1,11.67,70.0,36.0,13,7,5,12,2,0,2
2025,Ravi Bishnoi,Lucknow Super Giants,11,222,37.0,401,9,10.84,44.56,24.67,67,32,25,57,11,0,11
2025,S Dube,Chennai Super Kings,1,12,2.0,33,0,16.5,,,1,2,2,4,5,0,5
2025,SH Johnson,Kolkata Knight Riders,4,68,11.2,133,1,11.74,133.0,68.0,25,14,8,22,5,0,5
2025,SM Curran,Chennai Super Kings,5,72,12.0,133,1,11.08,133.0,72.0,16,11,8,19,2,0,2
2025,SN Thakur,Lucknow Super Giants,10,204,34.0,375,13,11.03,28.85,15.69,60,38,17,55,21,7,28
2025,SP Narine,Kolkata Knight Riders,12,270,45.0,351,12,7.8,29.25,22.5,84,12,22,34,3,3,6
2025,Sandeep Sharma,Rajasthan Royals,10,223,37.1,374,9,10.06,41.56,24.78,52,29,15,44,19,2,21
2025,Shahbaz Ahmed,Lucknow Super Giants,3,51,8.3,102,1,12.0,102.0,51.0,10,9,5,14,5,0,5
2025,Shashank Singh,Punjab Kings,1,12,2.0,27,0,13.5,,,3,4,1,5,0,0,0
2025,Simarjeet Singh,Sunrisers Hyderabad,4,60,10.0,141,2,14.1,70.5,30.0,20,11,13,24,2,2,4
2025,Suryansh Shedge,Punjab Kings,1,18,3.0,40,0,13.33,,,1,3,2,5,0,3,3
2025,Suyash Sharma,Royal Challengers Bengaluru,14,300,50.0,442,8,8.84,55.25,37.5,93,36,22,58,9,0,9
2025,T Natarajan,Delhi Capitals,2,25,4.1,53,1,12.72,53.0,25.0,5,5,3,8,0,0,0
2025,T Stubbs,Delhi Capitals,2,12,2.0,40,0,20.0,,,3,2,5,7,0,0,0
2025,TA Boult,Mumbai Indians,16,346,57.4,517,22,8.97,23.5,15.73,124,49,22,71,15,0,15
2025,TU Deshpande,Rajasthan Royals,10,192,32.0,340,9,10.62,37.78,21.33,57,35,13,48,20,0,20
2025,V Nigam,Delhi Capitals,13,234,39.0,356,11,9.13,32.36,21.27,72,22,21,43,7,9,16
2025,V Puthur,Mumbai Indians,5,72,12.0,109,6,9.08,18.17,12.0,24,4,9,13,1,0,1
2025,VG Arora,Kolkata Knight Riders,12,255,42.3,430,17,10.12,25.29,15.0,93,45,20,65,17,0,17
2025,Vijaykumar Vyshak,Punjab Kings,5,102,17.0,181,4,10.65,45.25,25.5,31,11,10,21,14,2,16
2025,W O'Rourke,Lucknow Super Giants,3,62,10.2,132,6,12.77,22.0,10.33,15,16,6,22,3,0,3
2025,WG Jacks,Mumbai Indians,8,84,14.0,120,6,8.57,20.0,14.0,31,11,4,15,8,1,9
2025,Washington Sundar,Gujarat Titans,5,65,10.5,111,2,10.25,55.5,32.5,15,7,7,14,2,0,2
2025,XC Bartlett,Punjab Kings,4,60,10.0,96,2,9.6,48.0,30.0,28,11,5,16,0,0,0
2025,YS Chahal,Punjab Kings,13,270,45.0,430,16,9.56,26.88,16.88,72,24,26,50,11,0,11
2025,Yash Dayal,Royal Challengers Bengaluru,15,294,49.0,470,13,9.59,36.15,22.62,91,43,20,63,11,14,25
2025,Yash Thakur,Punjab Kings,2,39,6.3,79,1,12.15,79.0,39.0,10,8,4,12,3,1,4
2025,Yudhvir Singh,Rajasthan Royals,4,66,11.0,131,4,11.91,32.75,16.5,26,14,8,22,4,0,5
2025,Zeeshan Ansari,Sunrisers Hyderabad,10,203,33.5,333,6,9.84,55.5,33.83,47,24,17,41,5,1,6
2026,A Badoni,Lucknow Super Giants,1,6,1.0,14,0,14.0,,,0,1,1,2,0,0,0
2026,A Kamboj,Chennai Super Kings,8,166,27.4,237,14,8.57,16.93,11.86,73,31,8,39,5,3,8
2026,A Nortje,Lucknow Super Giants,1,24,4.0,39,0,9.75,,,7,1,2,3,7,0,7
2026,AJ Hosein,Chennai Super Kings,4,82,13.4,109,6,7.98,18.17,13.67,33,4,8,12,0,3,3
2026,AK Markram,Lucknow Super Giants,4,34,5.4,69,0,12.18,,,8,3,6,9,1,0,1
2026,AM Ghazanfar,Mumbai Indians,5,101,16.5,145,8,8.61,18.12,12.62,34,10,8,18,3,0,3
2026,AR Patel,Delhi Capitals,8,144,24.0,200,7,8.33,28.57,20.57,37,14,9,23,3,0,3
2026,AS Roy,Kolkata Knight Riders,6,91,15.1,140,5,9.23,28.0,18.2,27,7,8,15,12,0,12
2026,Abdul Samad,Lucknow Super Giants,1,1,0.1,6,0,36.0,,,0,0,1,1,0,0,0
