Year,Player,Team,Match Number,Opposition,Date,Balls,Overs,Runs Given,Wickets,Economy Rate,Average,Strike Rate,Dots,4s,6s,Boundaries Conceded,Wides,No Balls,Extras Given,Result
2008,SM Pollock,Mumbai Indians,3,Punjab Kings,2008-04-25,24,4.0,40,1,10.0,40.0,24.0,8,5,1,6,1,0,1,Lost
2008,A Nehra,Mumbai Indians,4,Deccan Chargers,2008-04-27,12,2.0,19,0,9.5,,,5,4,0,4,0,0,0,Lost
2008,AM Nayar,Mumbai Indians,4,Deccan Chargers,2008-04-27,6,1.0,22,0,22.0,,,0,0,3,3,1,0,1,Lost
2008,DJ Bravo,Mumbai Indians,4,Deccan Chargers,2008-04-27,13,2.1,31,0,14.31,,,3,1,3,4,2,0,2,Lost
2008,DS Kulkarni,Mumbai Indians,4,Deccan Chargers,2008-04-27,6,1.0,8,0,8.0,,,4,2,0,2,0,0,0,Lost
2008,SD Chitnis,Mumbai Indians,4,Deccan Chargers,2008-04-27,12,2.0,20,0,10.0,,,3,2,1,3,1,0,1,Lost
2008,SM Pollock,Mumbai Indians,4,Deccan Chargers,2008-04-27,12,2.0,33,0,16.5,,,3,3,3,6,0,0,0,Lost
2008,ST Jayasuriya,Mumbai Indians,4,Deccan Chargers,2008-04-27,12,2.0,17,0,8.5,,,3,1,1,2,0,0,0,Lost
2008,A Nehra,Mumbai Indians,5,Kolkata Knight Riders,2008-04-29,6,1.0,9,0,9.0,,,3,2,0,2,0,0,0,Won
2008,CRD Fernando,Mumbai Indians,5,Kolkata Knight Riders,2008-04-29,24,4.0,41,1,10.25,41.0,24.0,7,6,1,7,2,0,2,Won
2008,DJ Bravo,Mumbai Indians,5,Kolkata Knight Riders,2008-04-29,24,4.0,25,1,6.25,25.0,24.0,11,2,1,3,1,0,1,Won
2008,DS Kulkarni,Mumbai Indians,5,Kolkata Knight Riders,2008-04-29,18,3.0,15,0,5.0,,,7,1,0,1,3,0,3,Won
2008,SM Pollock,Mumbai Indians,5,Kolkata Knight Riders,2008-04-29,24,4.0,27,2,6.75,13.5,12.0,11,3,1,4,0,0,0,Won
2008,ST Jayasuriya,Mumbai Indians,5,Kolkata Knight Riders,2008-04-29,24,4.0,14,3,3.5,4.67,8.0,14,1,0,1,1,0,1,Won
2008,A Nehra,Mumbai Indians,6,Delhi Capitals,2008-05-04,24,4.0,25,3,6.25,8.33,8.0,10,2,1,3,0,0,0,Won
2008,DJ Bravo,Mumbai Indians,6,Delhi Capitals,2008-05-04,18,3.0,27,1,9.0,27.0,18.0,4,2,1,3,0,0,0,Won
2008,DJ Thornely,Mumbai Indians,6,Delhi Capitals,2008-05-04,12,2.0,15,1,7.5,15.0,12.0,3,2,0,2,0,0,0,Won
2008,DS Kulkarni,Mumbai Indians,6,Delhi Capitals,2008-05-04,17,2.5,18,2,6.35,9.0,8.5,8,2,0,2,0,2,2,Won
